cowcode,cowcode2,year,gwf.casename,gwf.country,id.x,gwf.regimetype,regdummy,gwf.next,gwf.prior,gwf.spell,gwf.duration,gwf.fail,gwf.party,gwf.military,gwf.monarchy,gwf.personal,gwf.nonautocracy,gwf.disagree,gwf.cacar,gwf.casia,gwf.ceeurope,gwf.easia,gwf.meast,gwf.nafrica,gwf.samerica,gwf.ssafrica,fimposed,gwf.partymil,gwf.partymilper,gwf.partyper,country,country.isocode,id.y,pwt7.pop,pwt7.xrat,pwt7.currency_unit,pwt7.ppp,pwt7.tcgdp,pwt7.cgdp,pwt7.cgdp2,pwt7.cda2,pwt7.cc,pwt7.cg,pwt7.ci,pwt7.p,pwt7.p2,pwt7.pc,pwt7.pg,pwt7.pi,pwt7.openc,pwt7.cgnp,pwt7.y,pwt7.y2,pwt7.rgdpl,pwt7.rgdpl2,pwt7.rgdpch,logpwt7.rgdpch,pwt7.rgdpch.ch,pwt7.rgdpch.ch.1lag,pwt7.rgdpch.ch.2lag,pwt7.rgdpch.ch.3lag,pwt7.rgdpch.ch.ma2a,pwt7.rgdpch.ch.ma3a,pwt7.rgdpch.ch.ma4a,pwt7.rgdpch.ch.ma5a,pwt7.rgdpch.ma7a,pwt7.rgdpch.dev7,pwt7.rgdpch.ma10a,pwt7.rgdpch.dev10,pwt7.kc,pwt7.kg,pwt7.ki,pwt7.openk,pwt7.rgdpeqa,pwt7.rgdpwok,pwt7.rgdpl2wok,pwt7.rgdpl2pe,pwt7.rgdpl2te,pwt7.rgdpl2th,pwt7.rgdptt,incgrp,pwt7.rgdpchL1,pwt7.rgdpchL1.log,pwt7.rgdpch.chL1,pwt7.rgdpch.chL2,pwt7.rgdpch.chL3,pwt7.rgdpch.chL4,pwt7.rgdpch.chL5,pwt7.rgdpch.chL6,pwt7.rgdpch.chL7,pwt7.rgdpch.chL8,pwt7.rgdpch.chL9,pwt7.rgdpch.chL10,pwt7.rgdpch.chL11,pwt7.twoyma,pwt7.threeyma,pwt7.fouryma,pwt7.fiveyma,pwt7.sixyma,pwt7.sevenyma,pwt7.eightyma,pwt7.nineyma,pwt7.tenyma,pwt7.devfiveyma,pwt7.devsixyma,pwt7.devsevenyma,pwt7.deveightyma,pwt7.devnineyma,pwt7.devtenyma,id,mad.gdppc,mad.gdppcL1,mad.gdppcL1.log,mad.chgdppc,mad.chgdppcL1,mad.chgdppcL2,mad.chgdppcL3,mad.chgdppcL4,mad.chgdppcL5,mad.chgdppcL6,mad.chgdppcL7,mad.chgdppcL8,mad.chgdppcL9,mad.chgdppcL10,mad.chgdppcL11,mad.twoyma,mad.threeyma,mad.fouryma,mad.fiveyma,mad.sixyma,mad.sevenyma,mad.eightyma,mad.nineyma,mad.tenyma,mad.devfiveyma,mad.devsixyma,mad.devsevenyma,mad.deveightyma,mad.devnineyma,mad.devtenyma,ross.precio,ross.precioL1,ross.precioL1.log
651,651,1960,Egypt 52-NA,Egypt,Egypt1960,party-military-personal,0,"NA",monarchy,58,8,0,0,0,0,0,"NA",0,0,0,0,0,0,1,0,0,0,0,1,0,Egypt,EGY,egypt1960,26846.61,0.348242015,Egyptian Pound,0.279859973,5421.554331,201.9455839,202.5880646,202.6698476,80.27766175,8.120366525,11.64234085,80.36364399,81.13321089,74.83697295,94.38104333,108.698435,36.71644926,100.1801597,6.995819373,7.018076256,1037.566377,1035.042231,1036.288118,6.943400052,5.20860733012509,1.944492185,6.839090334,2.150649062,3.576549755,4.664063282,4.035709727,3.137406861,1.199750064,4.008857262,1.479351552,3.729255774,85.6605304,8.660032652,11.66739582,78.07612057,1303.975617,3416.129036,3412.021963,NA,3250.757245,NA,1099.251295,2,984.9841608,6.892625560636707,1.9444921850473542,6.839090323642931,2.1506490715346662,-0.4558046096477689,-2.4077258234637777,-4.881058030239466,2.3811495534665044,4.222352951354387,-0.20823743274295375,NA,NA,4.391791254345143,3.6447438600749837,2.6196067426442955,1.614140229422681,0.5316071861456564,0.7958275243343489,1.2241432027118537,1.0649897987724306,NA,3.594467100702409,4.677000143979433,4.412779805790741,3.984464127413236,4.143617531352659,NA,Egypt1960,991.455184937412,968.8127732223475,6.87607137673325,2.3371297675766716,2.3270389349039227,2.304312565273563,2.2672395037944684,2.3074386208565016,-0.5160690463430612,-0.575885070179871,-0.639537509603121,-0.511954598911424,-0.5768107571339216,NA,NA,2.315675750088743,2.299530334657318,2.301507406207114,1.7379921156970788,1.3523459180509205,1.0677911426717719,0.8703229249738723,0.7095302936285619,NA,0.5991376518795928,0.984783849525751,1.2693386249048997,1.4668068426027991,1.6275994739481097,NA,11.722041130065918,NA,NA
651,651,1961,Egypt 52-NA,Egypt,Egypt1961,party-military-personal,0,"NA",monarchy,58,9,0,0,0,0,0,"NA",0,0,0,0,0,0,1,0,0,0,0,1,0,Egypt,EGY,egypt1961,27522.861,0.348242015,Egyptian Pound,0.275390249,5792.661237,210.4672635,211.4874023,217.191079,81.68029935,8.222277761,12.79435737,79.08013309,79.93090233,73.04674321,90.66435302,110.4142391,34.89797257,100.0463982,7.174557796,7.209333014,1060.920899,1059.762991,1060.38719,6.966388954,2.325518509901508,5.208607326,1.944492185,6.839090334,3.767062894,3.159539324,4.079427077,3.693671474,2.229260991,0.096257471,1.732727141,0.592791321,87.80887879,8.633428617,13.28442367,75.6508272,1335.996314,3500.868663,3498.80787,NA,3344.271663,NA,1133.403102,2,1036.288118,6.94340049033268,5.20860733012509,1.9444921850473542,6.839090323642931,2.1506490715346662,-0.4558046096477689,-2.4077258234637777,-4.881058030239466,2.3811495534665044,4.222352951354387,-0.20823743274295375,NA,3.576549757586222,4.664063279605125,4.03570972758751,3.1374068601404543,2.213218079539749,1.199750063857004,1.3474250000581915,1.666861439091102,1.4793515519076965,-0.8118883502389465,0.11230043036175896,1.1257684460445039,0.9780935098433163,0.6586570708104058,0.8461669579938114,Egypt1961,1030.866796908608,991.455184937412,6.899173747682068,3.9751279301327074,2.3371297675766716,2.3270389349039227,2.304312565273563,2.2672395037944684,2.3074386208565016,-0.5160690463430612,-0.575885070179871,-0.639537509603121,-0.511954598911424,-0.5768107571339216,NA,2.3320843512402973,2.3228270892513856,2.308930192887156,2.3086318784810254,1.8378483910103443,1.4930293251260278,1.2264584707848842,1.03330146304085,0.8722902410233728,1.666496051651682,2.137279539122363,2.4820986050066796,2.7486694593478234,2.9418264670918575,3.1028376891093346,11.686212539672852,199.71519470214844,5.301886961467431
651,651,1962,Egypt 52-NA,Egypt,Egypt1962,party-military-personal,0,"NA",monarchy,58,10,0,0,0,0,0,"NA",0,0,0,0,0,0,1,0,0,0,0,1,0,Egypt,EGY,egypt1962,28173.309,0.4044891,Egyptian Pound,0.279745822,6136.460595,217.8111416,218.817968,229.3988365,81.75801655,8.951326158,14.12612331,69.16028699,69.73731914,64.22571638,76.05194255,93.66100929,36.8770953,99.80855729,7.015025721,7.047452498,1058.258397,1056.793688,1058.229738,6.964352293,-0.20345888938925424,2.325518462,5.208607326,1.944492185,1.061029824,2.443555658,2.31878979,3.222849898,2.544156279,-2.747615093,1.290145965,-1.493604779,90.39050314,9.548685927,14.9970914,84.49024899,1334.975474,3499.04802,3494.299703,NA,3336.235885,NA,1160.133788,2,1060.38719,6.966389393994864,2.325518509901508,5.20860733012509,1.9444921850473542,6.839090323642931,2.1506490715346662,-0.4558046096477689,-2.4077258234637777,-4.881058030239466,2.3811495534665044,4.222352951354387,-0.20823743274295375,3.7670629200132986,3.159539341691317,4.079427087179221,3.6936714840503098,3.00209213510063,2.2292609981628573,1.340471119612567,1.456102056707449,1.7327271461721427,-3.897130373439564,-3.205551024489884,-2.4327198875521114,-1.543930009001821,-1.6595609460967031,-1.936186035561397,Egypt1962,1074.1589238226998,1030.866796908608,6.938155277715392,4.199584955487695,3.9751279301327074,2.3371297675766716,2.3270389349039227,2.304312565273563,2.2672395037944684,2.3074386208565016,-0.5160690463430612,-0.575885070179871,-0.639537509603121,-0.511954598911424,-0.5768107571339216,3.1561288488546895,2.879765544204434,2.735902299471716,2.6421697403362665,2.5863812204229726,2.143174039456396,1.8032916507518628,1.5318661884901978,1.3274841097500358,1.5574152151514284,1.6132037350647224,2.056410916031299,2.396293304735832,2.6677187669974973,2.872100845737659,13.929882049560547,8.264941215515137,2.2262375149266
651,651,1963,Egypt 52-NA,Egypt,Egypt1963,party-military-personal,0,"NA",monarchy,58,11,0,0,0,0,0,"NA",0,0,0,0,0,0,1,0,0,0,0,1,0,Egypt,EGY,egypt1963,28820.665,0.434782594,Egyptian Pound,0.289594608,6630.67836,230.0668066,231.2195859,243.71556,79.2324367,10.02489427,16.14704427,66.60676202,67.13626388,61.49414903,74.48050799,87.09540003,40.20495464,99.66832791,7.123983633,7.15967927,1069.824843,1067.265429,1071.163795,6.976500555,1.2222352609788347,-0.203458814,2.325518462,5.208607326,0.509388195,1.114764951,2.138225544,2.099478872,2.783876251,-1.561641047,1.17425453,0.047980674,90.61331539,11.13633549,17.62139065,96.47363457,1353.014502,3547.197919,3534.288339,NA,3363.04497,NA,1211.538254,2,1058.229738,6.964352732513268,-0.20345888938925424,2.325518509901508,5.20860733012509,1.9444921850473542,6.839090323642931,2.1506490715346662,-0.4558046096477689,-2.4077258234637777,-4.881058030239466,2.3811495534665044,4.222352951354387,1.0610298102561269,2.443555650212448,2.3187897839211744,3.2228498918655255,3.0441497551437156,2.544156274459218,1.9251710122188435,1.168923340834587,1.2901459620977787,-2.000614630886691,-1.8219144941648808,-1.3219210134803834,-0.7029357512400087,0.05331192014424779,-0.06791070111894393,Egypt1963,1120.3014860307064,1074.1589238226998,6.979293237885925,4.295692302568716,4.199584955487695,3.9751279301327074,2.3371297675766716,2.3270389349039227,2.304312565273563,2.2672395037944684,2.3074386208565016,-0.5160690463430612,-0.575885070179871,-0.639537509603121,-0.511954598911424,4.087356442810201,3.5039475510656914,3.209720397025249,3.028638830674912,2.901738942861505,2.81683889686079,2.4002254039603086,2.0695464623891775,1.7986380651899476,1.2670534718938038,1.393953359707211,1.478853405707926,1.8954668986084071,2.226145840179538,2.497054237378768,16.08583641052246,NA,NA
651,651,1964,Egypt 52-NA,Egypt,Egypt1964,party-military-personal,0,"NA",monarchy,58,12,0,0,0,0,0,"NA",0,0,0,0,0,0,1,0,0,0,0,1,0,Egypt,EGY,egypt1964,29533.07,0.434782594,Egyptian Pound,0.281477673,7825.539719,264.9754908,268.2925092,277.874921,79.32143895,8.920004608,15.33018496,64.73986695,65.75314207,58.16460728,82.39153563,88.91863484,38.19980982,99.32179088,7.733142718,7.82994781,1223.168024,1222.459994,1223.845991,7.109753182,14.253860773925803,1.222235204,-0.203458814,2.325518462,7.738047986,5.090879053,4.399538905,4.561352589,4.512906495,9.740954274,3.087746409,11.16611436,90.12596068,9.685745578,16.48432651,85.88974862,1547.844338,4058.979928,4054.383164,NA,3849.042473,NA,1372.604185,2,1071.163795,6.976500995262089,1.2222352609788347,-0.20345888938925424,2.325518509901508,5.20860733012509,1.9444921850473542,6.839090323642931,2.1506490715346662,-0.4558046096477689,-2.4077258234637777,-4.881058030239466,2.3811495534665044,0.5093881857947903,1.1147649604970296,2.1382255529040446,2.0994788793327066,2.889414120051077,2.783876255977304,2.37891614777417,1.8470670398588425,1.1742545328490117,12.154381894593097,11.364446653874726,11.469984517948498,11.874944626151633,12.40679373406696,13.07960624107679,Egypt1964,1166.4236470037554,1120.3014860307064,7.021353112021627,4.116941872179645,4.295692302568716,4.199584955487695,3.9751279301327074,2.3371297675766716,2.3270389349039227,2.304312565273563,2.2672395037944684,2.3074386208565016,-0.5160690463430612,-0.575885070179871,-0.639537509603121,4.247638629028206,4.156801729396372,3.701883738941447,3.4269147781339426,3.239814409323879,3.1008751371053918,3.0016955725742807,2.6108328371390206,2.292161046407131,0.6900270940457021,0.8771274628557655,1.016066735074253,1.115246299605364,1.506109035040624,1.8247808257725135,17.785633087158203,26.257522583007812,3.305329541104259
651,651,1965,Egypt 52-NA,Egypt,Egypt1965,party-military-personal,0,"NA",monarchy,58,13,0,0,0,0,0,"NA",0,0,0,0,0,0,1,0,0,0,0,1,0,Egypt,EGY,egypt1965,30265.148,0.434782594,Egyptian Pound,0.296021234,8371.578324,276.6078766,278.6147908,286.8865155,78.16294311,9.479488053,15.3264438,68.08488605,68.86072256,62.06105004,78.91846195,92.35213683,35.7383633,99.22225276,7.528199177,7.582819636,1246.265139,1244.880049,1247.597943,7.128974886,1.9407631495031858,14.25386077,1.222235204,-0.203458814,8.097311976,5.805619718,4.303350085,3.907783761,3.813145473,-1.872382291,3.522595311,-1.581832128,88.98491229,10.1405454,16.9965507,85.17632945,1579.900797,4144.063383,4135.035533,NA,3917.31967,NA,1405.147778,2,1223.845991,7.109753630809319,14.253860773925803,1.2222352609788347,-0.20345888938925424,2.325518509901508,5.20860733012509,1.9444921850473542,6.839090323642931,2.1506490715346662,-0.4558046096477689,-2.4077258234637777,-4.881058030239466,7.738048017452319,5.090879048505128,4.399538913854223,4.561352597108396,4.125209195098223,4.512906499176038,4.217624320720867,3.6983544395687957,3.087746413265539,-2.62058944760521,-2.184446045595037,-2.5721433496728525,-2.2768611712176807,-1.7575912900656099,-1.146983263762353,Egypt1965,1213.4100784277878,1166.4236470037554,7.061697634543193,4.028247502074271,4.116941872179645,4.295692302568716,4.199584955487695,3.9751279301327074,2.3371297675766716,2.3270389349039227,2.304312565273563,2.2672395037944684,2.3074386208565016,-0.5160690463430612,-0.575885070179871,4.20631708737418,4.204073043412018,4.146836765092191,3.7848953655890867,3.5419192938082262,3.3651183325889886,3.2278834789896735,3.125611828085988,2.7614437406430827,0.24335213648518472,0.48632820826604517,0.6631291694852828,0.8003640230845979,0.9026356739882835,1.2668037614311887,17.712209701538086,NA,NA
651,651,1966,Egypt 52-NA,Egypt,Egypt1966,party-military-personal,0,"NA",monarchy,58,14,0,0,0,0,0,"NA",0,0,0,0,0,0,1,0,0,0,0,1,0,Egypt,EGY,egypt1966,30986.381,0.434782594,Egyptian Pound,0.303005905,8626.117343,278.3841502,280.2603083,286.4837962,78.24783035,9.599504641,14.37327481,69.69136049,70.53724867,63.7195131,79.26930757,96.00927248,33.95205132,99.26025125,6.997987417,7.045150054,1217.950108,1215.563752,1219.049523,7.105826306,-2.2882708456020655,1.940763183,14.25386077,1.222235204,-0.173753843,4.635451027,3.782147071,2.985025894,3.208465037,-5.496735907,3.339348684,-5.627619554,89.07387511,10.19236122,15.94516826,87.20796883,1539.420305,4055.418727,4043.822594,NA,3821.854756,NA,1372.517137,2,1247.597943,7.1289753359666586,1.9407631495031858,14.253860773925803,1.2222352609788347,-0.20345888938925424,2.325518509901508,5.20860733012509,1.9444921850473542,6.839090323642931,2.1506490715346662,-0.4558046096477689,-2.4077258234637777,8.097311961714494,5.805619728135941,4.303350073754642,3.9077837609840156,4.124587689174194,3.8131454742989317,4.191388580466931,3.964639746141124,3.522595310562235,-6.196054606586081,-6.41285853477626,-6.101416319900997,-6.479659426068997,-6.2529105917431895,-5.8108661561643,Egypt1966,1192.0140587058365,1213.4100784277878,7.101189921413861,-1.763296687767255,4.028247502074271,4.116941872179645,4.295692302568716,4.199584955487695,3.9751279301327074,2.3371297675766716,2.3270389349039227,2.304312565273563,2.2672395037944684,2.3074386208565016,-0.5160690463430612,4.0725946871269585,4.146960558940878,4.160116658077582,4.123118912488607,3.8254540550032843,3.6113947521319467,3.448009478774649,3.316812814887962,3.215875395484816,-5.886415600255862,-5.588750742770539,-5.374691439899202,-5.211306166541904,-5.080109502655217,-4.979172083252071,16.233539581298828,0,0
651,651,1967,Egypt 52-NA,Egypt,Egypt1967,party-military-personal,0,"NA",monarchy,58,15,0,0,0,0,0,"NA",0,0,0,0,0,0,1,0,0,0,0,1,0,Egypt,EGY,egypt1967,31681.188,0.434782594,Egyptian Pound,0.291721361,9077.693998,286.5326262,287.5687617,294.5991168,79.74384662,10.80620157,11.89470799,67.09591526,68.07594374,61.99345373,72.70457231,96.46018293,30.05237077,99.55210908,6.912156791,6.937151959,1212.629046,1205.065117,1213.933523,7.101620763,-0.4196712195424062,-2.28827087,1.940763183,14.25386077,-1.353971049,-0.255726305,3.371670463,2.941783412,2.404425244,-2.824096471,3.082316655,-3.501987883,91.4302554,11.53991575,13.24882498,78.41435895,1528.673981,4044.574925,4015.027236,NA,3784.471255,NA,1375.581647,2,1219.049523,7.105826754578948,-2.2882708456020655,1.9407631495031858,14.253860773925803,1.2222352609788347,-0.20345888938925424,2.325518509901508,5.20860733012509,1.9444921850473542,6.839090323642931,2.1506490715346662,-0.4558046096477689,-0.17375384804943983,4.635451025942308,3.7821470847014393,2.9850258898833006,2.8751079932196686,3.2084650413490143,3.050468434311307,3.4714264220148205,3.3393486869668054,-3.404697109425707,-3.2947792127620747,-3.6281362608914205,-3.470139653853713,-3.8910976415572267,-3.7590199065092116,Egypt1967,1151.2602926552497,1192.0140587058365,7.08339964177205,-3.4188997816714486,-1.763296687767255,4.028247502074271,4.116941872179645,4.295692302568716,4.199584955487695,3.9751279301327074,2.3371297675766716,2.3270389349039227,2.304312565273563,2.2672395037944684,2.3074386208565016,1.1324754071535081,2.1272975621622203,2.6693962472638444,2.9754339889086143,3.1420496457792964,3.02706109175035,2.9395583221445465,2.868975460269993,2.8088018646224406,-6.394333770580063,-6.560949427450745,-6.445960873421798,-6.358458103815995,-6.287875241941442,-6.227701646293889,13.898381233215332,0,0
651,651,1968,Egypt 52-NA,Egypt,Egypt1968,party-military-personal,0,"NA",monarchy,58,16,0,0,0,0,0,"NA",0,0,0,0,0,0,1,0,0,0,0,1,0,Egypt,EGY,egypt1968,32337.877,0.434782594,Egyptian Pound,0.270355686,10088.10163,311.9593049,313.1521266,322.8666296,81.83905671,11.30953052,9.953580124,62.18180993,63.52063606,56.92922011,72.51562871,94.12037583,28.1616866,99.62519846,6.96428728,6.990916244,1253.650772,1243.166063,1254.466183,7.134464959,3.338952194007421,-0.419671228,-2.28827087,1.940763183,1.4596405,0.21033671,0.642943328,3.365126816,2.549201496,0.789750732,2.732302844,0.606649384,95.35273562,12.06136157,11.30731002,72.87258399,1575.311449,4186.02272,4148.3154,NA,3898.137992,NA,1443.222959,2,1213.933523,7.10162121147104,-0.4196712195424062,-2.2882708456020655,1.9407631495031858,14.253860773925803,1.2222352609788347,-0.20345888938925424,2.325518509901508,5.20860733012509,1.9444921850473542,6.839090323642931,2.1506490715346662,-1.3539710325722358,-0.25572630521376194,3.371670464571129,2.9417834238526703,2.417576371645683,2.404425248539372,2.754948008737587,2.6648973616608944,3.082316657859098,0.3971687701547508,0.9213758223617381,0.9345269454680492,0.5840041852698343,0.6740548323465267,0.25663553614832324,Egypt1968,1145.7749308460411,1151.2602926552497,7.048612527946706,-0.47646582134412374,-3.4188997816714486,-1.763296687767255,4.028247502074271,4.116941872179645,4.295692302568716,4.199584955487695,3.9751279301327074,2.3371297675766716,2.3270389349039227,2.304312565273563,2.2672395037944684,-2.5910982347193516,-0.38464965578814403,0.7407482262038032,1.4517370414767856,1.9097116938119372,2.204771156143476,2.221315982572625,2.2330629772761026,2.240187936075849,-1.9282028628209094,-2.386177515156061,-2.6812369774875995,-2.697781803916749,-2.7095287986202266,-2.716653757419973,20.410842895507812,1.0592514276504517,0.7223425321255907
651,651,1969,Egypt 52-NA,Egypt,Egypt1969,party-military-personal,0,"NA",monarchy,58,17,0,0,0,0,0,"NA",0,0,0,0,0,0,1,0,0,0,0,1,0,Egypt,EGY,egypt1969,32966.239,0.434782594,Egyptian Pound,0.261950001,11278.0867,342.1102025,344.2286428,353.2198067,81.07948724,11.30830459,10.22418254,60.24850229,61.67387691,54.60783372,73.17432812,91.14524118,29.61699276,99.13899122,7.1169798460000004,7.161050138,1293.679604,1283.126767,1294.602263,7.165958342,3.199454919064964,3.338952228,-0.419671228,-2.28827087,3.26920357,2.039578637,0.95761626,1.154245645,3.035332028,0.164122883,2.857799117,0.341655794,95.80050913,12.12781935,11.72572754,75.68027271,1621.192965,4326.579076,4288.227805,NA,4017.623249,NA,1508.046472,2,1254.466183,7.134465408886745,3.338952194007421,-0.4196712195424062,-2.2882708456020655,1.9407631495031858,14.253860773925803,1.2222352609788347,-0.20345888938925424,2.325518509901508,5.20860733012509,1.9444921850473542,6.839090323642931,1.4596404872325075,0.21033670962098314,0.6429433195915338,3.3651268104583876,3.007978218878462,2.5492014891259314,2.5212411167228783,2.8198373626564575,2.732302844895547,-0.16567189139342364,0.19147670018650187,0.6502534299390326,0.6782138023420856,0.3796175564085065,0.46715207416941684,Egypt1969,1201.1659215558284,1145.7749308460411,7.043836482564275,4.834369230690579,-0.47646582134412374,-3.4188997816714486,-1.763296687767255,4.028247502074271,4.116941872179645,4.295692302568716,4.199584955487695,3.9751279301327074,2.3371297675766716,2.3270389349039227,2.304312565273563,-1.9476828015077863,-1.8862207635942758,-0.40760369717713896,0.4973054166942178,1.1303698976733008,1.5688291916467856,1.869616533957526,1.9215624488040977,1.9621100974140802,4.3370638139963615,3.7039993330172782,3.2655400390437936,2.9647526967330533,2.9128067818864816,2.872259133276499,27.20948600769043,45.3166389465332,3.8355012690286774
651,651,1970,Egypt 52-NA,Egypt,Egypt1970,party-military-personal,0,"NA",monarchy,58,18,0,0,0,0,0,"NA",0,0,0,0,0,0,1,0,0,0,0,1,0,Egypt,EGY,egypt1970,33574.026,0.434782609,Egyptian Pound,0.252275632,12663.3423,377.1767586,381.057568,395.0245774,83.36645791,10.27936977,10.01950024,58.02339528,60.32696844,50.86988004,79.83849994,96.23250236,30.67387902,99.16623385,7.545448654,7.62308453,1333.105703,1321.707643,1333.97374,7.195917087,3.0412025473185746,3.199454911,3.338952228,-0.419671228,3.120328714,3.193203219,2.289984607,1.374333512,3.295184501,-0.253981985,2.641058636,0.400143881,98.43364987,12.43007797,11.735113,81.26499617,1665.865229,4465.008057,4423.951612,NA,4133.849589,NA,1574.77618,2,1294.602263,7.1659587941401615,3.199454919064964,3.338952194007421,-0.4196712195424062,-2.2882708456020655,1.9407631495031858,14.253860773925803,1.2222352609788347,-0.20345888938925424,2.325518509901508,5.20860733012509,1.9444921850473542,3.2692035565361923,2.0395786311766595,0.9576162619819784,1.15424563948622,3.337514828559484,3.0353320331908193,2.6304831678683103,2.5965982058719987,2.857799118297308,1.8869569078323547,-0.29631228124090914,0.0058705141277553,0.4107193794502644,0.4446043414465759,0.18340342902126672,Egypt1970,1254.104623803258,1201.1659215558284,7.091047965373586,4.407276405149747,4.834369230690579,-0.47646582134412374,-3.4188997816714486,-1.763296687767255,4.028247502074271,4.116941872179645,4.295692302568716,4.199584955487695,3.9751279301327074,2.3371297675766716,2.3270389349039227,2.178951704673228,0.3130012092250023,-0.206073265023062,0.6407908883964046,1.2201493856936114,1.659512659532912,1.9770216965272598,2.1990335002611983,2.2128431269927455,3.7664855167533426,3.1871270194561356,2.747763745616835,2.4302547086224875,2.208242904888549,2.1944332781570015,37.094566345214844,63.19055938720703,4.161856149839494
651,651,1971,Egypt 52-NA,Egypt,Egypt1971,party-military-personal,0,"NA",monarchy,58,19,0,0,0,0,0,"NA",0,0,0,0,0,0,1,0,0,0,0,1,0,Egypt,EGY,egypt1971,34183.988,0.434782999,Egyptian Pound,0.246349275,13841.56483,404.9136933,410.3314332,425.704752,83.62364252,11.1046332,9.018285628,56.66028227,59.56785405,49.16687912,76.23257517,103.582948,29.68437174,99.11450114,7.551394922,7.652432487,1367.793384,1353.037285,1368.294317,7.221319764,2.5728075426732304,3.041202517,3.199454911,3.338952228,2.807005064,2.93782168,3.038104317,2.346549208,1.626462622,0.946344989,2.665787551,-0.09297994,98.41846531,13.16261553,10.49658886,77.77555997,1707.86381,4581.448202,4530.363209,NA,4234.02259,NA,1606.850497,2,1333.97374,7.195917541124392,3.0412025473185746,3.199454919064964,3.338952194007421,-0.4196712195424062,-2.2882708456020655,1.9407631495031858,14.253860773925803,1.2222352609788347,-0.20345888938925424,2.325518509901508,5.20860733012509,3.1203287331917693,3.1932032201303198,2.289984610212138,1.3743335190492976,1.468738457458279,3.2951845026679254,3.036065847456789,2.6761186544738953,2.6410586400166567,1.1984740236239328,1.1040690852149515,-0.722376959994695,-0.46325830478355856,-0.10331111180066488,-0.06825109734342627,Egypt1971,1283.0724760560147,1254.104623803258,7.134177149772619,2.309843349824152,4.407276405149747,4.834369230690579,-0.47646582134412374,-3.4188997816714486,-1.763296687767255,4.028247502074271,4.116941872179645,4.295692302568716,4.199584955487695,3.9751279301327074,2.3371297675766716,4.620822817920163,2.9217266048320676,1.3365700082061884,0.7165966690114998,1.2685384745219617,1.6754532456159164,2.0029831277350163,2.247049997485314,2.4198577907500534,1.5932466808126524,1.0413048753021905,0.6343901042082358,0.3068602220891359,0.0627933523388382,-0.11001444092590118,38.79667663574219,0,0
651,651,1972,Egypt 52-NA,Egypt,Egypt1972,party-military-personal,0,"NA",monarchy,58,20,0,0,0,0,0,"NA",0,0,0,0,0,0,1,0,0,0,0,1,0,Egypt,EGY,egypt1972,34807.417,0.434782609,Egyptian Pound,0.224272846,14535.86916,417.6083838,422.0183179,441.6515172,81.86176888,10.87122821,11.91921788,51.58275463,53.2926402,44.91694924,72.46052342,79.208771,31.71935182,99.2182632,7.153119742,7.228656508,1315.224666,1304.041255,1316.222432,7.182520666,-3.8056055888742,2.572807611,3.041202517,3.199454911,-0.616399003,0.602801504,1.251964855,1.66936233,0.805552793,-4.61115841,2.305572871,-6.111178488,99.09809774,13.34989373,14.087076,80.56398779,1642.041919,4408.601936,4367.801871,NA,4083.123073,NA,1588.377671,2,1368.294317,7.221320219048191,2.5728075426732304,3.0412025473185746,3.199454919064964,3.338952194007421,-0.4196712195424062,-2.2882708456020655,1.9407631495031858,14.253860773925803,1.2222352609788347,-0.20345888938925424,2.325518509901508,2.8070050449959023,2.9378216696855897,3.0381043007660473,2.346549196704357,1.5740791896532864,1.6264626124889863,3.204887382668588,2.984592702480838,2.665787543293829,-6.152154785578556,-5.379684778527486,-5.432068201363187,-7.010492971542789,-6.790198291355038,-6.4713931321680285,Egypt1972,1283.9191997277044,1283.0724760560147,7.157012852541609,0.0659918817908399,2.309843349824152,4.407276405149747,4.834369230690579,-0.47646582134412374,-3.4188997816714486,-1.763296687767255,4.028247502074271,4.116941872179645,4.295692302568716,4.199584955487695,3.9751279301327074,3.3585598774869494,3.850496328554826,2.7687557910800886,1.5312246765297812,0.9821377824802752,1.417296313850846,1.754752008641946,2.0370787079671424,2.253329332719198,-1.4652327947389414,-0.9161459006894352,-1.3513044320600063,-1.688760126851106,-1.9710868261763026,-2.187337450928358,28.9460391998291,18.168764114379883,2.953282085202547
